"Factor","Items","Estimator.x","CFI.x","TLI.x","RMSEA.x","SRMR.x","Item_Count.x","Estimator.y","CFI.y","TLI.y","RMSEA.y","SRMR.y","Item_Count.y"
"F5","v33,v35,v36,v38,v42","WLSMV",0.99876817791348,0.99753635582696,0.0705914405217887,0.0394826716255647,5,"WLSMV",0.999794659524145,0.99958931904829,0.0345227687186824,0.026473818187347,5
"F5","v33,v35,v36,v38,v44","WLSMV",0.998690936139444,0.997381872278887,0.0754884838926726,0.0364569253909208,5,"WLSMV",0.999515021184606,0.999030042369212,0.0543961607271134,0.0305412435071512,5
"F5","v33,v35,v36,v39","WLSMV",0.999907403021025,0.999722209063075,0.0288822452100191,0.0165135409102187,4,"WLSMV",0.999844197964292,0.999532593892877,0.044188895801154,0.0188927959803573,4
"F5","v33,v35,v36,v39,v41","WLSMV",0.998856422617075,0.997712845234149,0.0662228988369983,0.0384070081346018,5,"WLSMV",0.998898759944658,0.997797519889316,0.0798411950668793,0.0364308261307422,5
"F5","v33,v35,v36,v39,v42","WLSMV",0.999858446597599,0.999716893195197,0.0231556761986289,0.0248366388271199,5,"WLSMV",0.998968421934932,0.997936843869864,0.0765516404049823,0.0377400693377426,5
"F5","v33,v35,v36,v39,v42","MLR",0.991119633694383,0.982239267388766,0.0610758954538094,0.0246177220156752,5,"WLSMV",0.998968421934932,0.997936843869864,0.0765516404049823,0.0377400693377426,5
"F5","v33,v35,v36,v39,v43","WLSMV",0.999134201795238,0.998268403590477,0.0564984849607221,0.0358276349810431,5,"WLSMV",0.999758836474311,0.999517672948622,0.0357895179477824,0.0291561761378993,5
"F5","v33,v35,v36,v39,v43","WLSMV",0.999134201795238,0.998268403590477,0.0564984849607221,0.0358276349810431,5,"MLR",0.988933238283095,0.977866476566191,0.0746445552894356,0.0272564949105073,5
"F5","v33,v35,v36,v39,v43","MLR",0.984755520812011,0.969511041624022,0.0780725174434489,0.0321926182024822,5,"WLSMV",0.999758836474311,0.999517672948622,0.0357895179477824,0.0291561761378993,5
"F5","v33,v35,v36,v39,v43","MLR",0.984755520812011,0.969511041624022,0.0780725174434489,0.0321926182024822,5,"MLR",0.988933238283095,0.977866476566191,0.0746445552894356,0.0272564949105073,5
"F5","v33,v35,v36,v39,v44","WLSMV",0.998835004202585,0.99767000840517,0.0690583672011488,0.0343273801568535,5,"WLSMV",0.999535029153132,0.999070058306263,0.0523411505027061,0.0295110879588596,5
"F5","v33,v35,v36,v40,v44","WLSMV",0.998487744015672,0.996975488031345,0.0783160352740072,0.0403915033374963,5,"WLSMV",0.999463320263286,0.998926640526571,0.0548480488755614,0.0312420602800102,5
"F5","v33,v35,v36,v41","MLR",0.998630967191954,0.995892901575861,0.0350575495205483,0.0121729915653686,4,"MLR",0.996686150126848,0.990058450380544,0.0620255825300985,0.0155300912351518,4
"F5","v33,v35,v36,v43","MLR",0.998979417439554,0.996938252318662,0.0292996263755934,0.0124966316658314,4,"MLR",0.998580924442685,0.995742773328054,0.0388578478075023,0.0139885715159882,4
"F5","v33,v35,v36,v44","WLSMV",0.999636555652121,0.998909666956362,0.0573793972384191,0.0231719799898579,4,"WLSMV",0.999741622286106,0.999224866858318,0.0571091164778805,0.0224662441568848,4
"F5","v33,v35,v36,v44","MLR",0.995220757180237,0.98566227154071,0.0682914532916338,0.0148483627935323,4,"WLSMV",0.999741622286106,0.999224866858318,0.0571091164778805,0.0224662441568848,4
"F5","v33,v35,v37,v38,v39,v40,v44","WLSMV",0.995734273764451,0.993601410646676,0.0769886329006621,0.0417156533927129,7,"WLSMV",0.997316061391405,0.995974092087108,0.0717631101175006,0.0403760752892732,7
"F5","v33,v35,v37,v38,v39,v41,v44","WLSMV",0.995299403458929,0.992949105188394,0.0765999814854205,0.0423857042321301,7,"WLSMV",0.998479744532056,0.997719616798083,0.0557273867350269,0.0347235113377879,7
"F5","v33,v35,v37,v38,v39,v44","WLSMV",0.996093126068951,0.993488543448251,0.0798788324103085,0.0390078704160974,6,"WLSMV",0.999131063236001,0.998551772060001,0.0452704911271547,0.0300477234060449,6
"F5","v33,v35,v37,v39,v40,v44","WLSMV",0.995944494035152,0.993240823391921,0.076220622954934,0.0402979954715596,6,"WLSMV",0.997435632723758,0.995726054539597,0.0730787996921618,0.03919237037394,6
"F5","v33,v35,v37,v39,v44","WLSMV",0.996862877039035,0.993725754078069,0.0777382734785867,0.0355544297312798,5,"WLSMV",0.999269851889135,0.99853970377827,0.0461429132914541,0.0296462075584229,5
"F5","v33,v35,v37,v40,v44","WLSMV",0.997166314328771,0.994332628657542,0.0734804213607378,0.0368896319746435,5,"WLSMV",0.998313937575105,0.996627875150209,0.0686766285917298,0.0339495368762589,5
"F5","v33,v35,v38,v39,v41,v44","WLSMV",0.995549994160849,0.992583323601416,0.0773538382229136,0.0406007238063349,6,"WLSMV",0.997689820478714,0.996149700797856,0.0686212471854848,0.0383443836369735,6
"F5","v33,v35,v39,v43","MLR",0.987400446649534,0.962201339948603,0.0777917371903579,0.0276507519097265,4,"WLSMV",0.998829373207553,0.996488119622659,0.0592175882591501,0.0314407654663032,4
"F5","v33,v35,v39,v43","WLSMV",0.997974121225563,0.99392236367669,0.0698918380323138,0.0334473379033208,4,"WLSMV",0.998829373207553,0.996488119622659,0.0592175882591501,0.0314407654663032,4
"F5","v33,v35,v39,v44","WLSMV",0.998753971475005,0.996261914425014,0.062837176354048,0.0260546192693228,4,"WLSMV",0.999018356679426,0.997055070038277,0.0632345926514011,0.0290848562309949,4
