Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count,Source
F1,"v2,v7,v8,v10,v11",MLR,0.961472744,0.922945488,0.079239543,0.041197054,5,data_1
F1,"v2,v7,v8,v10,v11",MLR,0.971380415,0.94276083,0.068332275,0.036013056,5,data_2
F1,"v2,v8,v10,v11",MLR,0.973306497,0.919919492,0.061036259,0.033382818,4,data_1
F1,"v2,v8,v10,v11",MLR,0.977032315,0.931096945,0.072153442,0.029169913,4,data_2
F1,"v2,v8,v9,v10,v13",MLR,0.975722367,0.951444734,0.058603632,0.032782446,5,data_1
F1,"v2,v8,v9,v10,v13",MLR,0.964805536,0.929611071,0.073227476,0.041279805,5,data_2
F1,"v7,v8,v10,v11,v13",MLR,0.96274972,0.925499441,0.079255666,0.045570589,5,data_1
F1,"v7,v8,v10,v11,v13",MLR,0.966481259,0.932962518,0.074111181,0.038418178,5,data_2
