Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count
F1,"v1,v2,v3,v55",MLR,0.998702213,0.996106639,0.029771328,0.015219715,4
F1,"v1,v2,v4,v10",MLR,0.997990482,0.993971447,0.034862492,0.017243597,4
F1,"v1,v2,v4,v11",MLR,0.999844175,0.999532526,0.009650288,0.017043539,4
F1,"v1,v2,v4,v13",MLR,0.989083641,0.967250924,0.079169356,0.029217631,4
F1,"v1,v2,v4,v13",WLSMV,0.999455834,0.998367502,0.037492071,0.030617539,4
F1,"v1,v2,v4,v55",MLR,0.995898217,0.987694651,0.053368073,0.01870049,4
F1,"v1,v2,v4,v55",WLSMV,0.999999607,0.999998822,0.001164553,0.01875718,4
F1,"v1,v2,v5,v55",MLR,0.998656767,0.9959703,0.029906766,0.014142757,4
F1,"v1,v2,v9,v13",MLR,0.998593503,0.99578051,0.021624468,0.020977516,4
F1,"v1,v2,v9,v55",MLR,0.999370049,0.998110147,0.016782423,0.016371211,4
F1,"v1,v2,v10,v13",WLSMV,0.99624664,0.988739921,0.074786457,0.041239809,4
F1,"v1,v2,v10,v55",WLSMV,0.998812077,0.996436231,0.050735607,0.032964845,4
F1,"v1,v3,v4,v9",MLR,0.998614468,0.995843404,0.031597063,0.021218906,4
F1,"v1,v3,v4,v10",MLR,0.992718876,0.978156629,0.07435874,0.024112808,4
F1,"v1,v3,v4,v11",MLR,0.998670312,0.996010936,0.031782813,0.019264194,4
F1,"v1,v3,v5,v10",MLR,0.999308546,0.997925637,0.02004639,0.016796105,4
F1,"v1,v3,v10,v13",MLR,0.98540065,0.956201949,0.063822242,0.033442959,4
F1,"v1,v3,v10,v13",WLSMV,0.996272147,0.988816442,0.05754753,0.035165136,4
F1,"v1,v3,v10,v55",MLR,0.996517689,0.989553068,0.037502562,0.022778853,4
F1,"v1,v4,v5,v9",MLR,0.996428439,0.989285317,0.049377421,0.020446011,4
F1,"v1,v4,v5,v11",MLR,0.998870713,0.996612139,0.02846203,0.019230805,4
F1,"v1,v4,v5,v13",MLR,0.997903497,0.993710491,0.038206859,0.015861518,4
F1,"v1,v4,v9,v13",MLR,0.994937754,0.984813261,0.036238604,0.022155317,4
F1,"v1,v4,v10,v13",MLR,0.9946211,0.9838633,0.040390106,0.026630091,4
F1,"v1,v4,v10,v13",WLSMV,0.998649981,0.995949944,0.035150978,0.028899673,4
F1,"v1,v4,v10,v55",MLR,0.999107797,0.997323392,0.019461643,0.017910382,4
F1,"v1,v5,v9,v11",WLSMV,0.993813228,0.981439685,0.072807798,0.04669748,4
F1,"v1,v5,v10,v13",MLR,0.9892003,0.967600901,0.053487826,0.03145808,4
F1,"v1,v5,v10,v13",WLSMV,0.996638043,0.989914129,0.054384389,0.034228072,4
F1,"v1,v5,v10,v55",MLR,0.993109607,0.979328822,0.051515347,0.023490459,4
F1,"v1,v9,v10,v13",MLR,0.975714666,0.927143998,0.07810646,0.040311288,4
F1,"v1,v9,v13,v55",MLR,0.970791075,0.912373224,0.077849991,0.033491224,4
F1,"v1,v9,v13,v55",WLSMV,0.995096382,0.985289147,0.057359356,0.039847966,4
F1,"v1,v10,v11,v55",WLSMV,0.994977506,0.984932519,0.070459949,0.042158431,4
F1,"v1,v10,v13,v55",MLR,0.978565633,0.9356969,0.072965468,0.029288281,4
F1,"v1,v10,v13,v55",WLSMV,0.996815223,0.990445669,0.050105728,0.032414307,4
F1,"v1,v11,v13,v55",MLR,0.993391837,0.98017551,0.047093087,0.025112163,4
F1,"v1,v11,v13,v55",WLSMV,0.999063286,0.997189859,0.031037272,0.027477732,4
F1,"v2,v3,v4,v5",WLSMV,0.999891848,0.999675544,0.032412568,0.019944176,4
F1,"v2,v3,v4,v9",WLSMV,0.999327487,0.997982462,0.061541689,0.041760914,4
F1,"v2,v3,v4,v10",WLSMV,0.999228378,0.997685135,0.066615957,0.04119803,4
F1,"v2,v3,v4,v11",MLR,0.999213197,0.997639591,0.023818579,0.018978548,4
F1,"v2,v3,v4,v55",MLR,0.99427408,0.982822239,0.067448526,0.025390582,4
F1,"v2,v3,v4,v55",WLSMV,0.999516057,0.998548172,0.055523994,0.026272139,4
F1,"v2,v3,v5,v9",MLR,0.995646986,0.986940958,0.048035196,0.022709536,4
F1,"v2,v3,v5,v10",MLR,0.989934315,0.969802944,0.075235565,0.027533389,4
F1,"v2,v3,v5,v10",WLSMV,0.999490577,0.99847173,0.033425606,0.031181605,4
F1,"v2,v3,v5,v55",MLR,0.998268089,0.994804266,0.03286853,0.017098729,4
F1,"v2,v3,v9,v11",WLSMV,0.990473494,0.971420481,0.079747701,0.04946082,4
F1,"v2,v3,v9,v13",MLR,0.988984071,0.966952213,0.049113842,0.024524616,4
F1,"v2,v3,v10,v13",WLSMV,0.992961504,0.978884512,0.068921148,0.039807296,4
F1,"v2,v3,v10,v55",MLR,0.986831007,0.960493022,0.068324382,0.026759098,4
F1,"v2,v3,v10,v55",WLSMV,0.999153509,0.997460527,0.031684099,0.029039161,4
F1,"v2,v4,v5,v9",WLSMV,0.999365642,0.998096925,0.047942028,0.037004953,4
