Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count
F1,"v2,v4,v5,v9",WLSMV,0.995878689,0.987636068,0.073537354,0.038382782,4
F1,"v2,v4,v5,v10",MLR,0.990691032,0.972073095,0.064439499,0.026507153,4
F1,"v2,v4,v5,v10",WLSMV,0.997920582,0.993761747,0.056567526,0.029968552,4
F1,"v3,v10,v13,v55",WLSMV,0.979762889,0.939288667,0.072870882,0.03804875,4
F1,"v2,v5,v9,v13",WLSMV,0.984016325,0.952048975,0.065704986,0.039479185,4
F1,"v4,v5,v9,v55",MLR,0.979744633,0.939233898,0.079755636,0.029981041,4
F1,"v3,v4,v5,v9",WLSMV,0.998353425,0.995060275,0.071880057,0.038270372,4
F1,"v3,v4,v5,v10",WLSMV,0.998755802,0.996267406,0.064803023,0.030352498,4
F1,"v3,v4,v5,v13",MLR,0.99806323,0.99418969,0.033615448,0.015224369,4
F1,"v3,v4,v5,v55",MLR,0.997843701,0.993531104,0.036046968,0.014803078,4
F1,"v3,v4,v9,v55",MLR,0.993823479,0.981470438,0.04614515,0.027142981,4
F1,"v3,v4,v9,v55",WLSMV,0.99893445,0.99680335,0.044215758,0.030267562,4
F1,"v3,v4,v10,v55",MLR,0.994368455,0.983105364,0.047098889,0.023888594,4
F1,"v3,v4,v10,v55",WLSMV,0.999290959,0.997872876,0.037680826,0.025748756,4
F1,"v3,v5,v9,v55",MLR,0.990290187,0.970870561,0.048014398,0.021879422,4
F1,"v3,v5,v9,v55",WLSMV,0.998532676,0.995598029,0.030426164,0.025731458,4
F1,"v3,v5,v10,v55",MLR,0.99552613,0.98657839,0.036109977,0.017950123,4
F1,"v3,v9,v10,v13",WLSMV,0.989268594,0.967805782,0.078028816,0.04361744,4
F1,"v1,v3,v5,v9,v13,v55",MLR,0.979732686,0.966221143,0.043234232,0.034622608,6
F1,"v3,v9,v13,v55",WLSMV,0.981004772,0.943014315,0.0527316,0.03302973,4
F1,"v2,v4,v5,v10,v55",MLR,0.979183311,0.958366621,0.064525508,0.034437051,5
F1,"v4,v9,v10,v13",MLR,0.97906357,0.93719071,0.073759388,0.033498168,4
F1,"v2,v4,v10,v11,v55",WLSMV,0.978349812,0.956699624,0.066148904,0.047311644,5
F1,"v4,v5,v9,v55",WLSMV,0.997329161,0.991987484,0.053290181,0.033299734,4
F1,"v4,v5,v10,v55",MLR,0.998244543,0.994733629,0.025422125,0.018836559,4
F1,"v2,v5,v10,v13,v55",WLSMV,0.978341188,0.956682375,0.071220224,0.050208075,5
F1,"v4,v9,v10,v13",WLSMV,0.993278006,0.979834017,0.063073119,0.03545174,4
F1,"v1,v9,v10,v13,v55",MLR,0.978037016,0.956074031,0.047905045,0.035225239,5
F1,"v1,v3,v4,v5,v10,v55",MLR,0.977905217,0.963175361,0.063965543,0.029349626,6
F1,"v4,v10,v13,v55",WLSMV,0.986498154,0.959494462,0.062249017,0.033465931,4
F1,"v5,v9,v13,v55",WLSMV,0.999675598,0.999026793,0.006784665,0.023456964,4
F1,"v3,v4,v5,v9,v55",MLR,0.97782615,0.955652301,0.074766106,0.034286455,5
F1,"v5,v10,v13,v55",WLSMV,0.988182877,0.964548632,0.058393457,0.034902985,4
F1,"v9,v10,v11,v55",WLSMV,0.985721501,0.957164503,0.079432636,0.043081998,4
F1,"v1,v2,v3,v9,v13",WLSMV,0.99062054,0.981241079,0.07837229,0.057414489,5
F1,"v1,v4,v10,v13,v55",WLSMV,0.977802014,0.955604028,0.070776532,0.048908828,5
F1,"v1,v2,v3,v9,v55",WLSMV,0.996236875,0.992473751,0.050953282,0.040086784,5
F1,"v1,v2,v3,v10,v11",WLSMV,0.992990102,0.985980205,0.069319115,0.049239938,5
F1,"v2,v3,v10,v13,v55",WLSMV,0.977014812,0.954029624,0.079048371,0.054002417,5
F1,"v1,v2,v3,v10,v55",WLSMV,0.996718848,0.993437696,0.049560576,0.038509285,5
F6,"v46,v49,v50,v52,v56,v57",MLR,0.976940964,0.961568273,0.07028129,0.031453714,6
F1,"v1,v2,v3,v11,v55",WLSMV,0.9966081,0.993216199,0.047287123,0.040527514,5
F1,"v1,v2,v3,v13,v55",WLSMV,0.994308679,0.988617358,0.06231711,0.047039982,5
F1,"v1,v2,v4,v9,v13",WLSMV,0.989726624,0.979453247,0.077834524,0.056035087,5
F1,"v1,v4,v10,v11,v55",WLSMV,0.976344819,0.952689638,0.066374688,0.048036142,5
F1,"v1,v2,v4,v9,v55",WLSMV,0.99483507,0.98967014,0.056758398,0.041660198,5
F5,"v35,v38,v39,v40,v41,v44",MLR,0.976186142,0.960310236,0.072563577,0.031470402,6
F1,"v1,v2,v4,v11,v55",WLSMV,0.995088205,0.99017641,0.054115813,0.042370826,5
F1,"v1,v2,v4,v13,v55",WLSMV,0.99318346,0.986366921,0.064864495,0.046144772,5
F1,"v2,v9,v13,v55",WLSMV,0.976172271,0.928516812,0.06009329,0.036988869,4
F1,"v1,v2,v5,v9,v55",WLSMV,0.994848549,0.989697099,0.055308973,0.042318021,5
F1,"v1,v2,v5,v10,v55",WLSMV,0.9910279,0.9820558,0.077229029,0.04870579,5
F1,"v1,v5,v9,v13",WLSMV,0.975515291,0.926545873,0.073689347,0.042521975,4
F1,"v1,v2,v5,v11,v55",WLSMV,0.997142417,0.994284834,0.039779605,0.039290671,5
F1,"v4,v9,v13,v55",WLSMV,0.975488464,0.926465391,0.055565058,0.034321846,4
F1,"v1,v2,v5,v13,v55",WLSMV,0.996878105,0.993756209,0.042225813,0.038933089,5
F1,"v1,v2,v5,v11,v55",MLR,0.975475582,0.950951165,0.06119375,0.035097894,5
F1,"v1,v2,v9,v13,v55",WLSMV,0.98822236,0.97644472,0.074639365,0.05467274,5
F1,"v1,v2,v10,v11,v55",WLSMV,0.989004104,0.978008208,0.073886992,0.051191891,5
F1,"v1,v3,v4,v5,v9",WLSMV,0.997092281,0.994184561,0.065804016,0.041227605,5
F1,"v1,v3,v4,v5,v10",WLSMV,0.997435853,0.994871705,0.064011575,0.0379913,5
F1,"v3,v4,v9,v13,v55",MLR,0.97464291,0.949285821,0.062120867,0.042522675,5
F1,"v1,v3,v4,v5,v11",WLSMV,0.997872342,0.995744684,0.055703602,0.03883257,5
F1,"v1,v3,v4,v5,v13",MLR,0.9844276,0.968855201,0.067381607,0.022875679,5
F1,"v1,v3,v4,v5,v13",WLSMV,0.998675827,0.997351654,0.0444344,0.030717307,5
F1,"v1,v3,v4,v5,v55",MLR,0.985243586,0.970487172,0.066472369,0.022514915,5
F1,"v1,v3,v4,v5,v55",WLSMV,0.998681197,0.997362394,0.044856215,0.030281102,5
F1,"v1,v3,v4,v9,v13",MLR,0.988489458,0.976978915,0.046773489,0.03623781,5
F1,"v1,v3,v4,v9,v13",WLSMV,0.996993213,0.993986425,0.05219691,0.044430435,5
F1,"v2,v5,v9,v13",MLR,0.974422805,0.923268416,0.062215223,0.030888354,4
F1,"v1,v3,v4,v10,v11",WLSMV,0.994030586,0.988061172,0.075389819,0.051635241,5
F1,"v1,v3,v4,v10,v55",MLR,0.99425365,0.988507299,0.035201082,0.023978529,5
F1,"v1,v3,v4,v10,v55",WLSMV,0.999854031,0.999708062,0.012136558,0.026724289,5
F1,"v4,v10,v13,v55",MLR,0.973937676,0.921813028,0.06037722,0.027074988,4
F1,"v1,v3,v5,v9,v13",WLSMV,0.991102892,0.982205785,0.059216974,0.046279177,5
F1,"v1,v3,v5,v9,v55",MLR,0.989874518,0.979749036,0.039274434,0.026527465,5
F1,"v1,v3,v5,v9,v55",WLSMV,0.998546591,0.997093181,0.024580575,0.030908093,5
F1,"v1,v3,v5,v10,v55",MLR,0.984783886,0.969567773,0.051676643,0.025862395,5
F1,"v1,v3,v5,v10,v55",WLSMV,0.998283518,0.996567035,0.029028146,0.029853992,5
F1,"v1,v3,v5,v11,v55",MLR,0.99641872,0.992837441,0.022598231,0.02555177,5
F1,"v1,v2,v5,v13,v55",MLR,0.973869577,0.947739155,0.06438872,0.036577846,5
F1,"v1,v3,v9,v13,v55",WLSMV,0.981716589,0.963433178,0.056725066,0.046010212,5
F1,"v5,v10,v13,v55",MLR,0.973527145,0.920581435,0.063885982,0.02701063,4
F1,"v2,v5,v10,v11,v55",WLSMV,0.973425025,0.94685005,0.072512221,0.050475749,5
F1,"v1,v4,v5,v9,v13",WLSMV,0.993574786,0.987149571,0.059320963,0.047167517,5
F1,"v1,v4,v5,v9,v55",MLR,0.984796495,0.96959299,0.050598987,0.027373695,5
F1,"v1,v4,v5,v9,v55",WLSMV,0.999244856,0.998489712,0.020714723,0.031254177,5
F1,"v1,v4,v5,v10,v11",WLSMV,0.990695731,0.981391463,0.075439594,0.052282456,5
F1,"v1,v4,v5,v11,v55",MLR,0.999344386,0.998688773,0.010180927,0.024299936,5
F1,"v2,v3,v5,v9,v13",MLR,0.973163802,0.946327604,0.063203079,0.035373074,5
F1,"v1,v4,v9,v13,v55",WLSMV,0.980111753,0.960223506,0.054142752,0.044842916,5
F1,"v1,v3,v10,v11,v55",WLSMV,0.972964297,0.945928593,0.072559922,0.051355396,5
F6,"v46,v49,v52,v56,v57",MLR,0.97295981,0.94591962,0.07840189,0.033921348,5
F1,"v1,v5,v9,v13,v55",MLR,0.984389188,0.968778376,0.032106026,0.029314789,5
F1,"v1,v5,v9,v13,v55",WLSMV,0.992150355,0.98430071,0.031057494,0.035759126,5
F1,"v3,v9,v13,v55",MLR,0.972767298,0.918301894,0.048939003,0.025719936,4
