"Factor","Items","Estimator","CFI","TLI","RMSEA","SRMR","Item_Count"
"F5","v33,v35,v36,v37","WLSMV",0.999966517293845,0.999899551881535,0.0215168784308161,0.0139590667546025,4
"F5","v33,v35,v36,v39","WLSMV",0.999844197964292,0.999532593892877,0.044188895801154,0.0188927959803573,4
"F5","v33,v35,v36,v41","MLR",0.996686150126848,0.990058450380544,0.0620255825300985,0.0155300912351518,4
"F5","v33,v35,v36,v42","WLSMV",0.999777966825676,0.999333900477029,0.0518865232423972,0.022362891822468,4
"F5","v33,v35,v36,v43","MLR",0.998580924442685,0.995742773328054,0.0388578478075023,0.0139885715159882,4
"F5","v33,v35,v36,v44","WLSMV",0.999741622286106,0.999224866858318,0.0571091164778805,0.0224662441568848,4
"F5","v33,v35,v37,v39","WLSMV",0.999066863412716,0.997200590238147,0.0678441832502947,0.0242025946515626,4
"F5","v33,v35,v37,v44","WLSMV",0.99968556485197,0.999056694555911,0.041124496189955,0.0245068791148659,4
"F5","v33,v35,v38,v39","WLSMV",0.99873167619108,0.99619502857324,0.0742483471751084,0.0246462016034092,4
"F5","v33,v35,v38,v42","WLSMV",0.999272675372152,0.997818026116455,0.0533853256550655,0.0246151395122754,4
"F5","v33,v35,v38,v44","WLSMV",0.999141577119089,0.997424731357267,0.0618180787412112,0.0295164453792206,4
"F5","v33,v35,v39,v43","WLSMV",0.998829373207553,0.996488119622659,0.0592175882591501,0.0314407654663032,4
"F5","v33,v35,v39,v44","WLSMV",0.999018356679426,0.997055070038277,0.0632345926514011,0.0290848562309949,4
"F5","v33,v35,v40,v44","WLSMV",0.999372875190733,0.998118625572201,0.0481390399203356,0.0263305118696929,4
"F5","v33,v36,v38,v42","MLR",0.996575467279131,0.989726401837394,0.0531657984326792,0.0183331917555749,4
"F5","v33,v36,v38,v42","WLSMV",0.999962324408678,0.999886973226034,0.0147779969921902,0.0209051782008809,4
"F5","v33,v36,v38,v44","WLSMV",0.999305781039625,0.997917343118874,0.0657577472552532,0.0283397284668589,4
"F5","v33,v36,v39,v43","MLR",0.992284699906702,0.976854099720107,0.0727424102972721,0.0218557504880922,4
"F5","v33,v36,v39,v43","WLSMV",0.999413109118896,0.998239327356687,0.0544942601503054,0.0304639536044733,4
"F5","v33,v36,v39,v44","WLSMV",0.999553854393757,0.99866156318127,0.0508962654284729,0.0261483765945235,4
"F5","v33,v37,v38,v40","MLR",0.995708855428991,0.987126566286973,0.0566667000764443,0.0167424088447972,4
"F5","v33,v37,v38,v40","WLSMV",0.999629509176494,0.998888527529482,0.0393735030835156,0.019471810327445,4
"F5","v33,v37,v38,v41","MLR",0.995077681057634,0.985233043172901,0.0621039843999243,0.0169633199222862,4
"F5","v33,v37,v39,v40","MLR",0.99746955592831,0.992408667784929,0.0401033371742146,0.0153163058625114,4
"F5","v33,v37,v39,v41","MLR",0.992235850234874,0.976707550704621,0.0734738104599326,0.0204396251946901,4
"F5","v33,v37,v39,v41","WLSMV",0.999940200661538,0.999820601984615,0.0150917044149101,0.0166255404989885,4
"F5","v33,v37,v39,v44","MLR",0.997665517478565,0.992996552435694,0.0385711203478217,0.0156545693861873,4
"F5","v33,v37,v40,v41","WLSMV",0.998634739887877,0.995904219663632,0.0773579960675825,0.0245649642601771,4
"F5","v33,v37,v40,v42","WLSMV",0.99978035205856,0.999341056175681,0.0294072849647169,0.0207930750145144,4
"F5","v33,v37,v40,v43","MLR",0.988080300872242,0.964240902616726,0.0799773531713911,0.0245169467320766,4
"F5","v33,v37,v40,v43","WLSMV",0.999299589261471,0.997898767784414,0.0413147298099325,0.0270603640205171,4
"F5","v33,v37,v41,v43","WLSMV",0.998473376833708,0.995420130501123,0.0698628338471826,0.0342486620551176,4
"F5","v33,v37,v41,v44","MLR",0.998865269288682,0.996595807866047,0.0290221028434517,0.0130086094974272,4
"F5","v33,v37,v41,v44","WLSMV",0.999705480115802,0.999116440347407,0.0347204122653524,0.0180253929215503,4
"F5","v33,v37,v42,v43","WLSMV",0.998859299930465,0.996577899791395,0.062415786031961,0.0296011710265663,4
"F5","v33,v38,v39,v40","WLSMV",0.99906017071464,0.99718051214392,0.0561431171058053,0.0233830884846875,4
"F5","v33,v38,v39,v43","MLR",0.993381247146635,0.980143741439905,0.0590772880762656,0.0206030596362092,4
"F5","v33,v38,v39,v43","WLSMV",0.999513175575835,0.998539526727505,0.0333884598833865,0.0247094004601265,4
"F5","v33,v38,v40,v42","WLSMV",0.997907780582834,0.993723341748501,0.0766812994664359,0.0309322448080005,4
"F5","v33,v38,v40,v44","MLR",0.99754194771955,0.992625843158649,0.039970455641787,0.0162861557943332,4
"F5","v33,v38,v40,v44","WLSMV",0.999953300790178,0.999859902370534,0.0115787482513618,0.0215016454221903,4
"F5","v33,v38,v41,v44","WLSMV",0.998802676194103,0.996408028582309,0.0627169677660669,0.0242870587541619,4
"F5","v33,v39,v40,v42","MLR",0.996445425891287,0.98933627767386,0.044140906291088,0.0171900470809268,4
"F5","v33,v39,v40,v42","WLSMV",0.999786551242795,0.999359653728384,0.0229946313318664,0.0188889654882326,4
"F5","v33,v39,v40,v43","MLR",0.99483637647301,0.984509129419032,0.0482502400257033,0.0201252926735543,4
"F5","v33,v39,v40,v44","MLR",0.999074155492578,0.997222466477735,0.0224447090284459,0.0146213860105807,4
"F5","v33,v39,v41,v44","WLSMV",0.997989807153239,0.993969421459718,0.0751590736490766,0.0273666985272863,4
"F5","v33,v40,v41,v42","MLR",0.995838593629825,0.987515780889476,0.0544674139761776,0.0185314237873209,4
"F5","v33,v40,v41,v44","WLSMV",0.998576058944518,0.995728176833555,0.0686025237195166,0.0296015223869649,4
"F5","v33,v40,v42,v43","WLSMV",0.997831445793657,0.99349433738097,0.0635654061032884,0.0295039222752417,4
"F5","v33,v41,v42,v43","MLR",0.998940855873995,0.996822567621985,0.0255171863347967,0.0147462994712363,4
"F5","v33,v41,v42,v44","WLSMV",0.999636627597294,0.998909882791882,0.0403442511857382,0.0234213405136581,4
"F5","v33,v42,v43,v44","MLR",0.997511078981766,0.992533236945297,0.0406753966087725,0.018476243844489,4
"F5","v35,v36,v38,v42","WLSMV",0.999763674487049,0.999291023461147,0.0455222147086184,0.0239363808622611,4
"F5","v35,v36,v38,v44","WLSMV",0.999352832501038,0.998058497503114,0.0785486430775274,0.0282414654640914,4
"F5","v35,v36,v39,v43","MLR",0.997313654654349,0.991940963963046,0.0470014152575016,0.019821482307296,4
"F5","v35,v36,v39,v43","WLSMV",0.99992786266286,0.999783587988581,0.023805868611706,0.0221237541131392,4
"F5","v35,v36,v39,v44","WLSMV",0.999628398391345,0.998885195174034,0.0583249366935794,0.0243038351673436,4
"F5","v35,v36,v40,v44","WLSMV",0.999398620239487,0.998195860718461,0.0721412230237252,0.0275632691648986,4
"F5","v35,v37,v38,v39","MLR",0.999583449709129,0.998750349127386,0.0174131519804604,0.0129540130834187,4
"F5","v35,v37,v38,v42","WLSMV",0.998944546792129,0.996833640376385,0.0719778118832317,0.029378275160082,4
"F5","v35,v37,v38,v44","MLR",0.994440761994709,0.983322285984127,0.0670139689337313,0.0170736363922364,4
"F5","v35,v37,v38,v44","WLSMV",0.999182733050124,0.997548199150373,0.0631513624456704,0.0219497449337838,4
"F5","v35,v37,v39,v40","WLSMV",0.998988248690782,0.996964746072346,0.0591803708056943,0.0239911409163372,4
"F5","v35,v37,v39,v43","MLR",0.999423283418364,0.998269850255091,0.0182673264288629,0.0158533910028648,4
"F5","v35,v37,v39,v43","WLSMV",0.999983732569591,0.999951197708774,0.00682603193524707,0.0197024810265098,4
"F5","v35,v37,v39,v44","MLR",0.997214803723459,0.991644411170376,0.0447251405883471,0.0157820946519392,4
"F5","v35,v37,v39,v44","WLSMV",0.999492627945759,0.998477883837277,0.0460794786145973,0.0209207445034738,4
"F5","v35,v37,v40,v44","MLR",0.992162846404473,0.97648853921342,0.0747682525104632,0.0200838959264525,4
"F5","v35,v37,v41,v42","WLSMV",0.99948083989704,0.998442519691118,0.0553083544289449,0.0198152035648888,4
"F5","v35,v37,v41,v43","MLR",0.998854284926188,0.996562854778565,0.0281439058078535,0.0148328928964258,4
"F5","v35,v38,v39,v40","MLR",0.995122897811118,0.985368693433354,0.0566389165468142,0.0172991195136264,4
"F5","v35,v38,v39,v40","WLSMV",0.999673716210359,0.999021148631078,0.0324285633220353,0.0195035877989285,4
"F5","v35,v38,v39,v42","WLSMV",0.998685333584755,0.996056000754265,0.0621383332821672,0.0261485690543678,4
"F5","v35,v38,v39,v43","MLR",0.998822186168856,0.996466558506568,0.0245360319745186,0.0167552802882075,4
"F5","v35,v38,v39,v44","WLSMV",0.998225616603938,0.994676849811814,0.0790651820848009,0.0268788257620569,4
