Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count,Source
F6,"v46,v47,v49,v50,v51",WLSMV,0.998036447,0.996072894,0.072878277,0.029267144,5,data_1
F6,"v46,v47,v49,v50,v51,v52",WLSMV,0.996615319,0.994358865,0.079617519,0.039943929,6,data_1
F6,"v46,v47,v49,v50,v51,v52,v54",WLSMV,0.99856829,0.997852435,0.069735243,0.033015836,7,data_2
F6,"v46,v47,v49,v50,v51,v52,v54,v57",WLSMV,0.998523443,0.99793282,0.062494128,0.036151836,8,data_2
F6,"v46,v47,v49,v50,v51,v52,v54,v59",WLSMV,0.994542007,0.99235881,0.075663254,0.050059888,8,data_1
F6,"v46,v47,v49,v50,v51,v52,v54,v59",WLSMV,0.998309528,0.997633339,0.06758852,0.036362442,8,data_2
F6,"v46,v47,v49,v50,v51,v52,v54,v60",WLSMV,0.994748043,0.99264726,0.07333747,0.048757686,8,data_1
F6,"v46,v47,v49,v50,v51,v52,v54,v60",WLSMV,0.99872081,0.998209135,0.058395646,0.033263543,8,data_2
F6,"v46,v47,v49,v50,v51,v52,v56",WLSMV,0.996645803,0.994968704,0.067544557,0.040341592,7,data_1
F6,"v46,v47,v49,v50,v51,v52,v56",WLSMV,0.998600335,0.997900502,0.070995087,0.032451588,7,data_2
F6,"v46,v47,v49,v50,v51,v52,v56,v57",WLSMV,0.995619775,0.993867685,0.068625228,0.04371974,8,data_1
F6,"v46,v47,v49,v50,v51,v52,v56,v57",WLSMV,0.998475986,0.997866381,0.065298642,0.037161838,8,data_2
F6,"v46,v47,v49,v50,v51,v52,v56,v59",WLSMV,0.995879407,0.99423117,0.066867334,0.044621805,8,data_1
F6,"v46,v47,v49,v50,v51,v52,v56,v59",WLSMV,0.998314465,0.997640251,0.069369658,0.036243246,8,data_2
F6,"v46,v47,v49,v50,v51,v52,v56,v60",WLSMV,0.996295333,0.994813466,0.062576262,0.042185986,8,data_1
F6,"v46,v47,v49,v50,v51,v52,v56,v60",WLSMV,0.998775153,0.998285215,0.058684663,0.032378248,8,data_2
F6,"v46,v47,v49,v50,v51,v52,v57",WLSMV,0.995444808,0.993167212,0.078913857,0.044517817,7,data_1
F6,"v46,v47,v49,v50,v51,v52,v57",WLSMV,0.998227323,0.997340985,0.079127824,0.037967954,7,data_2
F6,"v46,v47,v49,v50,v51,v52,v59",WLSMV,0.995966448,0.993949672,0.074386508,0.043772549,7,data_1
F6,"v46,v47,v49,v50,v51,v52,v60",WLSMV,0.99610961,0.994164415,0.072269771,0.042748842,7,data_1
F6,"v46,v47,v49,v50,v51,v52,v60",WLSMV,0.998486293,0.997729439,0.073289243,0.033870905,7,data_2
F6,"v46,v47,v49,v50,v51,v54",WLSMV,0.996321423,0.993869038,0.077652545,0.042156924,6,data_1
F6,"v46,v47,v49,v50,v51,v54,v57",WLSMV,0.994899,0.9923485,0.078693018,0.046123218,7,data_1
F6,"v46,v47,v49,v50,v51,v54,v57",WLSMV,0.998288229,0.997432344,0.072945822,0.035995187,7,data_2
F6,"v46,v47,v49,v50,v51,v54,v59",WLSMV,0.995575296,0.993362944,0.073464485,0.04615328,7,data_1
F6,"v46,v47,v49,v50,v51,v54,v60",WLSMV,0.995825618,0.993738427,0.070204787,0.044273392,7,data_1
F6,"v46,v47,v49,v50,v51,v54,v60",WLSMV,0.998384725,0.997577087,0.070912874,0.034839304,7,data_2
F6,"v46,v47,v49,v50,v51,v56",WLSMV,0.997938069,0.996563448,0.05927149,0.032092485,6,data_1
F6,"v46,v47,v49,v50,v51,v56,v57",MLR,0.96690175,0.950352625,0.079207809,0.034453301,7,data_1
F6,"v46,v47,v49,v50,v51,v56,v57",WLSMV,0.99703454,0.995551811,0.061249762,0.035935101,7,data_1
F6,"v46,v47,v49,v50,v51,v56,v57",WLSMV,0.998180817,0.997271225,0.077521741,0.037906311,7,data_2
F6,"v46,v47,v49,v50,v51,v56,v59",WLSMV,0.996873332,0.995309998,0.062958023,0.040196245,7,data_1
F6,"v46,v47,v49,v50,v51,v56,v60",WLSMV,0.997392635,0.996088952,0.056492375,0.036519846,7,data_1
F6,"v46,v47,v49,v50,v51,v56,v60",WLSMV,0.998425682,0.997638523,0.072059027,0.034232693,7,data_2
F6,"v46,v47,v49,v50,v51,v57",WLSMV,0.997001193,0.995001989,0.072383971,0.035122452,6,data_1
F6,"v46,v47,v49,v50,v51,v59",WLSMV,0.997206355,0.995343925,0.069651179,0.037167616,6,data_1
F6,"v46,v47,v49,v50,v51,v60",WLSMV,0.997361965,0.995603275,0.066679363,0.035526611,6,data_1
F6,"v46,v47,v49,v50,v52",WLSMV,0.997867827,0.995735653,0.07412762,0.030682595,5,data_1
F6,"v46,v47,v49,v50,v52,v54",WLSMV,0.997045023,0.995075039,0.068670943,0.037642217,6,data_1
F6,"v46,v47,v49,v50,v52,v54,v57",WLSMV,0.998131348,0.997197022,0.069163153,0.035777897,7,data_2
F6,"v46,v47,v49,v50,v52,v54,v59",WLSMV,0.996446512,0.994669767,0.065108407,0.042499474,7,data_1
F6,"v46,v47,v49,v50,v52,v54,v59",WLSMV,0.998086889,0.997130334,0.070568562,0.035973873,7,data_2
F6,"v46,v47,v49,v50,v52,v54,v60",WLSMV,0.99624938,0.99437407,0.065879851,0.042290698,7,data_1
F6,"v46,v47,v49,v50,v52,v54,v60",WLSMV,0.99814883,0.997223244,0.069318397,0.035190095,7,data_2
F6,"v46,v47,v49,v50,v52,v56",WLSMV,0.998159104,0.996931839,0.055215728,0.030575371,6,data_1
F6,"v46,v47,v49,v50,v52,v56,v57",WLSMV,0.996544817,0.994817225,0.06500972,0.039094027,7,data_1
F6,"v46,v47,v49,v50,v52,v56,v57",WLSMV,0.998113142,0.997169713,0.072090796,0.036847089,7,data_2
F6,"v46,v47,v49,v50,v52,v56,v59",WLSMV,0.997305225,0.995957838,0.057762351,0.03867315,7,data_1
F6,"v46,v47,v49,v50,v52,v56,v59",WLSMV,0.998148972,0.997223457,0.07195737,0.035163149,7,data_2
F6,"v46,v47,v49,v50,v52,v56,v60",WLSMV,0.997317388,0.995976081,0.056682962,0.037355082,7,data_1
F6,"v46,v47,v49,v50,v52,v56,v60",WLSMV,0.998324011,0.997486017,0.068262197,0.033496565,7,data_2
F6,"v46,v47,v49,v50,v52,v57",WLSMV,0.996168548,0.993614247,0.07971855,0.040872331,6,data_1
F6,"v46,v47,v49,v50,v52,v59",WLSMV,0.997076175,0.995126958,0.069818437,0.039030049,6,data_1
F6,"v46,v47,v49,v50,v52,v60",WLSMV,0.996775334,0.994625556,0.072303059,0.039738553,6,data_1
F6,"v46,v47,v49,v50,v54,v59",WLSMV,0.996354204,0.993923673,0.074045101,0.042687727,6,data_1
F6,"v46,v47,v49,v50,v54,v60",WLSMV,0.99636759,0.993945983,0.072390202,0.040825255,6,data_1
F6,"v46,v47,v49,v50,v56",WLSMV,0.99832916,0.996658319,0.063145141,0.027103123,5,data_1
F6,"v46,v47,v49,v50,v56,v57",WLSMV,0.996922496,0.994870826,0.069355848,0.035765693,6,data_1
F6,"v46,v47,v49,v50,v56,v59",WLSMV,0.997191738,0.995319563,0.066364539,0.038933374,6,data_1
F6,"v46,v47,v49,v50,v56,v60",WLSMV,0.997490394,0.995817323,0.061352149,0.035118562,6,data_1
F6,"v46,v47,v49,v51",MLR,0.992370531,0.977111594,0.069475906,0.019310807,4,data_1
F6,"v46,v47,v49,v51",WLSMV,0.999358203,0.998074609,0.044570617,0.019902462,4,data_1
F6,"v46,v47,v49,v51,v52,v54",WLSMV,0.99805292,0.996754867,0.074468168,0.033525105,6,data_2
F6,"v46,v47,v49,v51,v52,v54,v57",WLSMV,0.99813003,0.997195045,0.063663102,0.036235149,7,data_2
F6,"v46,v47,v49,v51,v52,v54,v59",WLSMV,0.997811215,0.996716823,0.069748849,0.037065655,7,data_2
F6,"v46,v47,v49,v51,v52,v54,v60",WLSMV,0.998372722,0.997559083,0.059437966,0.033214585,7,data_2
F6,"v46,v47,v49,v51,v52,v56",WLSMV,0.995956328,0.993260547,0.068999527,0.040606746,6,data_1
F6,"v46,v47,v49,v51,v52,v56",WLSMV,0.998146125,0.996910208,0.075593795,0.0320811,6,data_2
F6,"v46,v47,v49,v51,v52,v56,v57",WLSMV,0.993039742,0.989559614,0.079148839,0.047150303,7,data_1
F6,"v46,v47,v49,v51,v52,v56,v57",WLSMV,0.998120961,0.997181441,0.066194451,0.036569875,7,data_2
F6,"v46,v47,v49,v51,v52,v56,v59",WLSMV,0.993841204,0.990761806,0.074850295,0.047755318,7,data_1
F6,"v46,v47,v49,v51,v52,v56,v59",WLSMV,0.997828244,0.996742366,0.07199832,0.036581002,7,data_2
F6,"v46,v47,v49,v51,v52,v56,v60",WLSMV,0.99466479,0.991997185,0.068766611,0.044526129,7,data_1
F6,"v46,v47,v49,v51,v52,v56,v60",WLSMV,0.998482464,0.997723696,0.059407527,0.031710489,7,data_2
F6,"v46,v47,v49,v51,v52,v60",WLSMV,0.998143127,0.996905212,0.075070476,0.032664795,6,data_2
F6,"v46,v47,v49,v51,v54",WLSMV,0.996166836,0.992333673,0.074245696,0.040112954,5,data_1
F6,"v46,v47,v49,v51,v54,v57",WLSMV,0.997681471,0.996135785,0.076792415,0.034814755,6,data_2
F6,"v46,v47,v49,v51,v54,v60",WLSMV,0.994068725,0.990114541,0.075644259,0.046320514,6,data_1
F6,"v46,v47,v49,v51,v54,v60",WLSMV,0.997555457,0.995925762,0.078333639,0.036000556,6,data_2
F6,"v46,v47,v49,v51,v56",MLR,0.987217792,0.974435584,0.063449911,0.025162806,5,data_1
F6,"v46,v47,v49,v51,v56",WLSMV,0.999113307,0.998226614,0.036830606,0.025705698,5,data_1
F6,"v46,v47,v49,v51,v56,v57",WLSMV,0.995978799,0.993297999,0.065388535,0.036354115,6,data_1
F6,"v46,v47,v49,v51,v56,v59",WLSMV,0.99599321,0.993322016,0.06517927,0.041593742,6,data_1
F6,"v46,v47,v49,v51,v56,v60",WLSMV,0.996905117,0.994841862,0.056142018,0.036817676,6,data_1
F6,"v46,v47,v49,v51,v56,v60",WLSMV,0.997723716,0.996206194,0.078604121,0.03453355,6,data_2
F6,"v46,v47,v49,v51,v59",WLSMV,0.996001467,0.992002933,0.078849807,0.040312937,5,data_1
F6,"v46,v47,v49,v51,v60",WLSMV,0.996513478,0.993026956,0.072555862,0.037344233,5,data_1
F6,"v46,v47,v49,v52",MLR,0.997651052,0.992953156,0.039132994,0.013531294,4,data_1
F6,"v46,v47,v49,v52",WLSMV,0.999968724,0.999906172,0.009753925,0.015264214,4,data_1
F6,"v46,v47,v49,v52",WLSMV,0.999465628,0.998396883,0.057541801,0.022362114,4,data_2
F6,"v46,v47,v49,v52,v54",MLR,0.989259096,0.978518193,0.058570338,0.024745745,5,data_1
