Factor,Items,Estimator,CFI,TLI,RMSEA,SRMR,Item_Count,Source
F5,"v33,v35,v37,v38,v39,v41,v44",WLSMV,0.995299403,0.992949105,0.076599981,0.042385704,7,data_1
F5,"v33,v35,v37,v38,v39,v41,v44",WLSMV,0.998479745,0.997719617,0.055727387,0.034723511,7,data_2
F5,"v33,v35,v37,v38,v39,v42,v44",WLSMV,0.995021331,0.992531996,0.077462179,0.044858978,7,data_1
F5,"v33,v35,v37,v38,v39,v43",WLSMV,0.997555239,0.995925398,0.069458748,0.042314943,6,data_2
F5,"v33,v35,v37,v38,v39,v44",WLSMV,0.996093126,0.993488543,0.079878832,0.03900787,6,data_1
F5,"v33,v35,v37,v38,v39,v44",WLSMV,0.999131063,0.998551772,0.045270491,0.030047723,6,data_2
F5,"v33,v35,v37,v38,v41,v44",WLSMV,0.997899923,0.996499871,0.072980298,0.037261329,6,data_2
F5,"v33,v35,v37,v38,v44",WLSMV,0.998972126,0.997944252,0.057811377,0.029834362,5,data_2
F5,"v33,v35,v37,v39",WLSMV,0.999066863,0.99720059,0.067844183,0.024202595,4,data_2
F5,"v33,v35,v37,v39,v40,v42,v44",WLSMV,0.994567478,0.991851217,0.076106583,0.045990798,7,data_1
F5,"v33,v35,v37,v39,v40,v44",WLSMV,0.995944494,0.993240823,0.076220623,0.040297995,6,data_1
F5,"v33,v35,v37,v39,v40,v44",WLSMV,0.997435633,0.995726055,0.0730788,0.03919237,6,data_2
F5,"v33,v35,v37,v39,v41,v44",WLSMV,0.997754419,0.996257366,0.071959888,0.037768648,6,data_2
F5,"v33,v35,v37,v39,v44",WLSMV,0.996862877,0.993725754,0.077738273,0.03555443,5,data_1
F5,"v33,v35,v37,v39,v44",WLSMV,0.999269852,0.998539704,0.046142913,0.029646208,5,data_2
F5,"v33,v35,v37,v40,v42,v44",WLSMV,0.994973974,0.991623291,0.079715489,0.046681464,6,data_1
F5,"v33,v35,v37,v40,v44",WLSMV,0.997166314,0.994332629,0.073480421,0.036889632,5,data_1
F5,"v33,v35,v37,v40,v44",WLSMV,0.998313938,0.996627875,0.068676629,0.033949537,5,data_2
F5,"v33,v35,v37,v44",WLSMV,0.999685565,0.999056695,0.041124496,0.024506879,4,data_2
F5,"v33,v35,v38,v39",WLSMV,0.998731676,0.996195029,0.074248347,0.024646202,4,data_2
F5,"v33,v35,v38,v39,v41",MLR,0.98516764,0.970335281,0.077622624,0.025684838,5,data_2
F5,"v33,v35,v38,v39,v41",WLSMV,0.998334371,0.996668742,0.065072787,0.029548343,5,data_2
F5,"v33,v35,v38,v39,v41,v44",WLSMV,0.995549994,0.992583324,0.077353838,0.040600724,6,data_1
F5,"v33,v35,v38,v39,v41,v44",WLSMV,0.99768982,0.996149701,0.068621247,0.038344384,6,data_2
F5,"v33,v35,v38,v39,v42",WLSMV,0.998234606,0.996469213,0.064409857,0.0328959,5,data_2
F5,"v33,v35,v38,v39,v43",WLSMV,0.997767551,0.995535103,0.067497263,0.038513412,5,data_2
F5,"v33,v35,v38,v39,v44",WLSMV,0.998598823,0.997197645,0.060072474,0.03268977,5,data_2
F5,"v33,v35,v38,v42",WLSMV,0.999272675,0.997818026,0.053385326,0.02461514,4,data_2
F5,"v33,v35,v38,v44",WLSMV,0.999141577,0.997424731,0.061818079,0.029516445,4,data_2
F5,"v33,v35,v39,v41,v44",WLSMV,0.997030598,0.994061196,0.067942022,0.036568745,5,data_1
F5,"v33,v35,v39,v42",MLR,0.998021055,0.994063164,0.032290285,0.016549631,4,data_1
F5,"v33,v35,v39,v42",WLSMV,0.999897228,0.999691685,0.016298126,0.020054866,4,data_1
F5,"v33,v35,v39,v43",MLR,0.987400447,0.96220134,0.077791737,0.027650752,4,data_1
F5,"v33,v35,v39,v43",WLSMV,0.997974121,0.993922364,0.069891838,0.033447338,4,data_1
F5,"v33,v35,v39,v43",WLSMV,0.998829373,0.99648812,0.059217588,0.031440765,4,data_2
F5,"v33,v35,v39,v44",WLSMV,0.998753971,0.996261914,0.062837176,0.026054619,4,data_1
F5,"v33,v35,v39,v44",WLSMV,0.999018357,0.99705507,0.063234593,0.029084856,4,data_2
F5,"v33,v35,v40,v42",WLSMV,0.99786008,0.993580241,0.074341882,0.034254721,4,data_1
F5,"v33,v35,v40,v44",WLSMV,0.999372875,0.998118626,0.04813904,0.026330512,4,data_2
F5,"v33,v36,v37,v38,v39,v44",WLSMV,0.99825031,0.997083851,0.069955845,0.033570691,6,data_2
F5,"v33,v36,v37,v39,v44",WLSMV,0.998299353,0.996598707,0.07837185,0.035814803,5,data_2
F5,"v33,v36,v38,v39,v42",WLSMV,0.998254427,0.996508854,0.074471409,0.034402905,5,data_2
F5,"v33,v36,v38,v39,v44",WLSMV,0.998841118,0.997682236,0.06242128,0.031307143,5,data_2
F5,"v33,v36,v38,v42",MLR,0.996575467,0.989726402,0.053165798,0.018333192,4,data_2
F5,"v33,v36,v38,v42",WLSMV,0.999962324,0.999886973,0.014777997,0.020905178,4,data_2
F5,"v33,v36,v38,v44",WLSMV,0.999305781,0.997917343,0.065757747,0.028339728,4,data_2
F5,"v33,v36,v39,v42",MLR,0.993648448,0.980945343,0.061684289,0.022697294,4,data_1
F5,"v33,v36,v39,v42",WLSMV,0.999359383,0.998078149,0.050915142,0.027634443,4,data_1
F5,"v33,v36,v39,v43",MLR,0.9922847,0.9768541,0.07274241,0.02185575,4,data_2
F5,"v33,v36,v39,v43",WLSMV,0.999413109,0.998239327,0.05449426,0.030463954,4,data_2
F5,"v33,v36,v39,v44",WLSMV,0.999553854,0.998661563,0.050896265,0.026148377,4,data_2
F5,"v33,v37,v38,v39,v40",MLR,0.995450315,0.990900631,0.042834342,0.019253394,5,data_2
F5,"v33,v37,v38,v39,v40,v41",MLR,0.978996568,0.96499428,0.072811826,0.0293738,6,data_1
F5,"v33,v37,v38,v39,v40,v41",MLR,0.980276882,0.967128136,0.077440956,0.027781272,6,data_2
F5,"v33,v37,v38,v39,v40,v41",WLSMV,0.997601699,0.996002831,0.058030642,0.03561156,6,data_1
F5,"v33,v37,v38,v39,v40,v41",WLSMV,0.999535073,0.999225121,0.031917687,0.027013696,6,data_2
F5,"v33,v37,v38,v39,v40,v41,v42",WLSMV,0.994751218,0.992126828,0.075273237,0.047122551,7,data_1
F5,"v33,v37,v38,v39,v40,v41,v42",WLSMV,0.996957945,0.995436918,0.077833587,0.044742862,7,data_2
F5,"v33,v37,v38,v39,v40,v41,v42,v43",WLSMV,0.996792199,0.995509079,0.071175911,0.047543551,8,data_2
F5,"v33,v37,v38,v39,v40,v41,v42,v44",MLR,0.961708767,0.946392273,0.07681027,0.039041423,8,data_1
F5,"v33,v37,v38,v39,v40,v41,v42,v44",WLSMV,0.995756982,0.994059775,0.063955456,0.044756041,8,data_1
F5,"v33,v37,v38,v39,v40,v41,v42,v44",WLSMV,0.996520414,0.995128579,0.079675257,0.048291348,8,data_2
F5,"v33,v37,v38,v39,v40,v41,v43",MLR,0.971290144,0.956935216,0.079645849,0.034792929,7,data_2
F5,"v33,v37,v38,v39,v40,v41,v43",WLSMV,0.998633969,0.997950954,0.046869854,0.0377451,7,data_2
F5,"v33,v37,v38,v39,v40,v41,v44",MLR,0.981482958,0.972224437,0.059598278,0.028111402,7,data_1
F5,"v33,v37,v38,v39,v40,v41,v44",MLR,0.97752254,0.96628381,0.072815595,0.029868576,7,data_2
F5,"v33,v37,v38,v39,v40,v41,v44",WLSMV,0.998393634,0.997590451,0.043181664,0.032985467,7,data_1
F5,"v33,v37,v38,v39,v40,v41,v44",WLSMV,0.999290216,0.998935324,0.036043833,0.030476331,7,data_2
F5,"v33,v37,v38,v39,v40,v42",MLR,0.993929236,0.989882059,0.038093538,0.023454883,6,data_1
F5,"v33,v37,v38,v39,v40,v42",WLSMV,0.999790642,0.999651069,0.016234555,0.026622201,6,data_1
F5,"v33,v37,v38,v39,v40,v42",WLSMV,0.997446128,0.995743547,0.071439481,0.039549377,6,data_2
F5,"v33,v37,v38,v39,v40,v42,v43",MLR,0.96642545,0.949638175,0.075671162,0.043621277,7,data_1
F5,"v33,v37,v38,v39,v40,v42,v43",WLSMV,0.996569618,0.994854427,0.071620341,0.046867131,7,data_2
F5,"v33,v37,v38,v39,v40,v42,v44",MLR,0.987482804,0.981224206,0.04816363,0.028617648,7,data_1
F5,"v33,v37,v38,v39,v40,v42,v44",WLSMV,0.999014254,0.998521381,0.03246225,0.031905518,7,data_1
F5,"v33,v37,v38,v39,v40,v43",MLR,0.992359085,0.987265142,0.041558595,0.025227834,6,data_1
F5,"v33,v37,v38,v39,v40,v43",MLR,0.981378676,0.968964459,0.069495133,0.031182558,6,data_2
F5,"v33,v37,v38,v39,v40,v43",WLSMV,0.999217506,0.998695844,0.030411188,0.032159897,6,data_1
F5,"v33,v37,v38,v39,v40,v43",WLSMV,0.998970282,0.998283803,0.040843226,0.035119353,6,data_2
F5,"v33,v37,v38,v39,v40,v44",MLR,0.999553266,0.999255444,0.010614179,0.017025092,6,data_1
F5,"v33,v37,v38,v39,v40,v44",MLR,0.994756129,0.991260216,0.038234111,0.02187903,6,data_2
F5,"v33,v37,v38,v39,v41",MLR,0.990399909,0.980799817,0.055865685,0.023540178,5,data_1
F5,"v33,v37,v38,v39,v41",MLR,0.997335317,0.994670634,0.033119184,0.017878086,5,data_2
F5,"v33,v37,v38,v39,v41",WLSMV,0.998978718,0.997957435,0.040096609,0.025672436,5,data_1
F5,"v33,v37,v38,v39,v41,v42,v43",WLSMV,0.996503623,0.994755435,0.076963761,0.048930762,7,data_2
F5,"v33,v37,v38,v39,v41,v42,v44",MLR,0.970448135,0.955672202,0.071680094,0.0373511,7,data_1
F5,"v33,v37,v38,v39,v41,v42,v44",WLSMV,0.996110167,0.994165251,0.061639764,0.041590775,7,data_1
F5,"v33,v37,v38,v39,v41,v42,v44",WLSMV,0.996957565,0.995436348,0.078363777,0.047149885,7,data_2
F5,"v33,v37,v38,v39,v41,v43",MLR,0.982677036,0.971128394,0.068218646,0.032933114,6,data_2
F5,"v33,v37,v38,v39,v41,v43",WLSMV,0.998966045,0.998276742,0.042465063,0.036987757,6,data_2
F5,"v33,v37,v38,v39,v41,v43,v44",WLSMV,0.996364714,0.994547072,0.076831933,0.048889644,7,data_2
F5,"v33,v37,v38,v39,v41,v44",MLR,0.993342522,0.988904204,0.038807387,0.022222733,6,data_1
F5,"v33,v37,v38,v39,v41,v44",MLR,0.995452106,0.992420177,0.036434828,0.022251066,6,data_2
F5,"v33,v37,v38,v39,v41,v44",WLSMV,0.999902535,0.999837558,0.010880683,0.023074945,6,data_1
F5,"v33,v37,v38,v39,v42",MLR,0.992198109,0.984396219,0.049681065,0.023210455,5,data_1
F5,"v33,v37,v38,v39,v42",WLSMV,0.999479302,0.998958604,0.027517362,0.026008023,5,data_1
F5,"v33,v37,v38,v39,v42,v44",MLR,0.987410649,0.979017748,0.053133419,0.027606637,6,data_1
F5,"v33,v37,v38,v39,v42,v44",WLSMV,0.998946554,0.998244256,0.034813836,0.030757504,6,data_1
F5,"v33,v37,v38,v39,v43",MLR,0.989637827,0.979275655,0.05495161,0.02633339,5,data_1
F5,"v33,v37,v38,v39,v43",MLR,0.982342619,0.964685239,0.078808921,0.03136147,5,data_2
F5,"v33,v37,v38,v39,v43",WLSMV,0.998359766,0.996719531,0.046754833,0.033607739,5,data_1
F5,"v33,v37,v38,v39,v43",WLSMV,0.998656228,0.997312456,0.051803646,0.03655346,5,data_2
F5,"v33,v37,v38,v40",MLR,0.995708855,0.987126566,0.0566667,0.016742409,4,data_2
F5,"v33,v37,v38,v40",WLSMV,0.999629509,0.998888528,0.039373503,0.01947181,4,data_2
F5,"v33,v37,v38,v40,v41",WLSMV,0.998935552,0.997871104,0.056021295,0.028240756,5,data_2
F5,"v33,v37,v38,v40,v41,v42,v43",WLSMV,0.996739925,0.995109887,0.077303837,0.047267994,7,data_2
F5,"v33,v37,v38,v40,v41,v42,v44",WLSMV,0.995050695,0.992576043,0.072611623,0.045675772,7,data_1
F5,"v33,v37,v38,v40,v41,v43",WLSMV,0.998330779,0.997217966,0.056565684,0.037434184,6,data_2
F5,"v33,v37,v38,v40,v41,v44",MLR,0.974887473,0.958145788,0.078467596,0.030599356,6,data_1
F5,"v33,v37,v38,v40,v41,v44",WLSMV,0.997224266,0.995373776,0.061006372,0.036489765,6,data_1
F5,"v33,v37,v38,v40,v41,v44",WLSMV,0.998788654,0.997981091,0.051785557,0.031466814,6,data_2
F5,"v33,v37,v38,v40,v42",MLR,0.991544938,0.983089876,0.053276708,0.023744752,5,data_1
F5,"v33,v37,v38,v40,v42",WLSMV,0.999222435,0.998444871,0.034718945,0.027066845,5,data_1
F5,"v33,v37,v38,v40,v42,v44",MLR,0.985087252,0.97514542,0.05921254,0.028562683,6,data_1
F5,"v33,v37,v38,v40,v42,v44",WLSMV,0.998630011,0.997716685,0.040723878,0.03157725,6,data_1
F5,"v33,v37,v38,v40,v43",MLR,0.985273232,0.970546463,0.067801945,0.029173525,5,data_1
F5,"v33,v37,v38,v40,v43",WLSMV,0.997770363,0.995540725,0.056298901,0.037242259,5,data_1
F5,"v33,v37,v38,v40,v43",WLSMV,0.998528972,0.997057944,0.054571131,0.034618565,5,data_2
F5,"v33,v37,v38,v40,v44",MLR,0.99505205,0.990104101,0.04207611,0.019109371,5,data_1
F5,"v33,v37,v38,v40,v44",MLR,0.993523315,0.98704663,0.050708648,0.020816415,5,data_2
F5,"v33,v37,v38,v41",MLR,0.995077681,0.985233043,0.062103984,0.01696332,4,data_2
F5,"v33,v37,v38,v41",WLSMV,0.997494022,0.992482067,0.079346852,0.029255293,4,data_1
F5,"v33,v37,v38,v41,v42,v44",MLR,0.972239806,0.95373301,0.078196101,0.035090213,6,data_1
F5,"v33,v37,v38,v41,v42,v44",WLSMV,0.99611058,0.993517633,0.066240338,0.039703136,6,data_1
F5,"v33,v37,v38,v41,v43",MLR,0.984533921,0.969067843,0.077268085,0.029884899,5,data_2
F5,"v33,v37,v38,v41,v43",WLSMV,0.998876538,0.997753076,0.050539439,0.036034583,5,data_2
F5,"v33,v37,v38,v41,v44",MLR,0.989821285,0.979642571,0.056759557,0.022713395,5,data_1
F5,"v33,v37,v38,v41,v44",MLR,0.994897954,0.989795908,0.046676701,0.02031961,5,data_2
F5,"v33,v37,v38,v41,v44",WLSMV,0.999217142,0.998434284,0.0344797,0.024366598,5,data_1
F5,"v33,v37,v38,v42",MLR,0.990489814,0.971469443,0.073734881,0.021729357,4,data_1
F5,"v33,v37,v38,v42",WLSMV,0.998905181,0.996715544,0.049833866,0.024869092,4,data_1
F5,"v33,v37,v38,v42,v44",MLR,0.988168085,0.976336169,0.060954937,0.024881403,5,data_1
F5,"v33,v37,v38,v42,v44",WLSMV,0.998971308,0.997942615,0.038293779,0.028005797,5,data_1
F5,"v33,v37,v38,v44",MLR,0.99671452,0.990143561,0.045205814,0.014787615,4,data_1
F5,"v33,v37,v39,v40",MLR,0.997469556,0.992408668,0.040103337,0.015316306,4,data_2
F5,"v33,v37,v39,v40,v41",WLSMV,0.996322253,0.992644505,0.071727155,0.037536938,5,data_1
F5,"v33,v37,v39,v40,v41",WLSMV,0.998832802,0.997665603,0.054232394,0.028193445,5,data_2
F5,"v33,v37,v39,v40,v41,v42",WLSMV,0.997685218,0.99614203,0.072184879,0.038173661,6,data_2
F5,"v33,v37,v39,v40,v41,v42,v43",WLSMV,0.997514301,0.996271451,0.064584885,0.041995082,7,data_2
F5,"v33,v37,v39,v40,v41,v42,v44",WLSMV,0.994676993,0.992015489,0.068839965,0.04577758,7,data_1
F5,"v33,v37,v39,v40,v41,v42,v44",WLSMV,0.997359796,0.996039695,0.072507261,0.041695904,7,data_2
F5,"v33,v37,v39,v40,v41,v43",WLSMV,0.997685969,0.996143282,0.061938962,0.039622925,6,data_2
F5,"v33,v37,v39,v40,v41,v44",MLR,0.979745862,0.966243104,0.066335792,0.028005891,6,data_1
F5,"v33,v37,v39,v40,v41,v44",MLR,0.979667215,0.966112024,0.075776352,0.029720752,6,data_2
F5,"v33,v37,v39,v40,v41,v44",WLSMV,0.997539544,0.99589924,0.051922524,0.034365799,6,data_1
F5,"v33,v37,v39,v40,v41,v44",WLSMV,0.998850532,0.998084219,0.047295461,0.030751561,6,data_2
F5,"v33,v37,v39,v40,v42",MLR,0.986166535,0.97233307,0.062465245,0.02647551,5,data_1
F5,"v33,v37,v39,v40,v42",WLSMV,0.998309566,0.996619131,0.044368789,0.030207557,5,data_1
F5,"v33,v37,v39,v40,v42",WLSMV,0.998312595,0.99662519,0.062469262,0.032497243,5,data_2
F5,"v33,v37,v39,v40,v42,v43",WLSMV,0.99726592,0.995443199,0.065309751,0.041783807,6,data_2
F5,"v33,v37,v39,v40,v42,v44",MLR,0.98508826,0.9751471,0.055372473,0.028846242,6,data_1
F5,"v33,v37,v39,v40,v42,v44",WLSMV,0.998094238,0.99682373,0.042951519,0.033415052,6,data_1
F5,"v33,v37,v39,v40,v43",MLR,0.982068956,0.964137911,0.068397616,0.02917286,5,data_1
F5,"v33,v37,v39,v40,v43",WLSMV,0.996876807,0.993753613,0.057676832,0.037346076,5,data_1
F5,"v33,v37,v39,v40,v43",WLSMV,0.997808683,0.995617366,0.059896811,0.037167049,5,data_2
F5,"v33,v37,v39,v40,v44",MLR,0.998804735,0.99760947,0.019173925,0.016159467,5,data_1
F5,"v33,v37,v39,v40,v44",MLR,0.996335799,0.992671597,0.035771782,0.020179363,5,data_2
F5,"v33,v37,v39,v41",MLR,0.989793224,0.969379673,0.070673666,0.021447118,4,data_1
F5,"v33,v37,v39,v41",MLR,0.99223585,0.976707551,0.07347381,0.020439625,4,data_2
F5,"v33,v37,v39,v41",WLSMV,0.99856807,0.995704211,0.05162183,0.02292946,4,data_1
F5,"v33,v37,v39,v41",WLSMV,0.999940201,0.999820602,0.015091704,0.01662554,4,data_2
