"Factor","Items","Estimator","CFI","TLI","RMSEA","SRMR","Item_Count"
"F2","v14,v16,v17,v18","MLR",0.996096875136182,0.988290625408547,0.0577789005288584,0.0188906915470873,4
"F2","v14,v16,v19,v20","WLSMV",0.99923830861917,0.997714925857511,0.078350424079954,0.0452242491101215,4
"F2","v14,v17,v19,v20","MLR",0.993295932719887,0.97988779815966,0.0699856277900283,0.0279266705765699,4
"F2","v14,v17,v19,v20","WLSMV",0.999697125245105,0.999091375735315,0.0491859429191067,0.0351039768072658,4
"F2","v14,v18,v19,v20","MLR",0.999685249875849,0.999055749627546,0.0155684583092053,0.0172232495370405,4
"F2","v15,v16,v19,v20","WLSMV",0.999380775823411,0.998142327470233,0.0707955289207351,0.0413240017206125,4
"F2","v15,v18,v19,v20","MLR",0.999907833825879,0.999723501477638,0.00849884334883338,0.0124758253608751,4
"F2","v16,v17,v18,v19","WLSMV",0.999926304464985,0.999778913394955,0.0250916823685101,0.0204004534096775,4
