"Factor","Items","Estimator","CFI","TLI","RMSEA","SRMR","Item_Count"
"F4","v26,v27,v28,v30","MLR",0.994965369660419,0.984896108981257,0.066276560901806,0.0164137080088302,4
"F4","v26,v27,v28,v30","WLSMV",0.999873353532386,0.999620060597157,0.0273105168268732,0.0154403812220197,4
"F4","v26,v28,v30,v31","MLR",0.999647827820113,0.998943483460338,0.0145813205851963,0.0161151530121293,4
"F4","v26,v29,v30,v31","MLR",0.993751568287622,0.981254704862867,0.0690068257847152,0.022735451215748,4
"F4","v26,v29,v30,v31","WLSMV",0.999496267657137,0.998488802971411,0.0502679187706398,0.0288682803499945,4
"F4","v27,v28,v30,v31","MLR",0.997521549205924,0.992564647617771,0.0375270081795543,0.0190927074245329,4
"F4","v27,v29,v30,v31","MLR",0.992439095259137,0.97731728577741,0.0735990350962645,0.0257707952625528,4
"F4","v27,v29,v30,v31","WLSMV",0.999064790840215,0.997194372520644,0.0626803962584795,0.0313652045063525,4
"F4","v28,v29,v30,v31","MLR",0.993080122481351,0.979240367444053,0.0749099327491803,0.0225681693838402,4
"F4","v28,v29,v30,v31","WLSMV",0.999708739822248,0.999126219466744,0.0384172465322619,0.0251221636396981,4
"F4","v26,v27,v28,v30,v31","MLR",0.997939987974538,0.995879975949076,0.0279186088538008,0.0183462352695309,5
"F4","v26,v27,v29,v30,v31","WLSMV",0.998474405594277,0.996948811188553,0.0717683625853816,0.0317310431162189,5
