"X","M","Y","Indirect","Indirect_p","Direct","Direct_p","Total","Total_p","CFI","TLI","RMSEA","SRMR","MediationType"
"F4","F1","F3",0.264,0.0306,0.5795,0.0013,0.8435,0,1,1.0047,0,0.0474,"Partial Mediation"
"F4","F1","F5",0.5627,0,0.1012,0.327,0.6639,0,1,1.0133,0,0.0384,"Full Mediation"
"F4","F1","F6",0.7165,0,0.272,0.0493,0.9885,0,1,1.0162,0,0.0379,"Partial Mediation"
"F4","F2","F1",0.0901,0.0227,0.5271,0,0.6172,0,0.9942,0.9926,0.0263,0.0573,"Partial Mediation"
"F4","F2","F3",0.3998,0,0.4354,0,0.8352,0,1,1,0.0012,0.0536,"Partial Mediation"
"F4","F2","F5",0.1677,3e-04,0.4547,0,0.6224,0,1,1.009,0,0.0462,"Partial Mediation"
"F4","F2","F6",0.1639,0.0077,0.766,0,0.9299,0,1,1.0125,0,0.0486,"Partial Mediation"
"F4","F3","F1",0.1189,0.0574,0.5137,0,0.6325,0,1,1.0047,0,0.0474,"No Mediation"
"F4","F3","F2",-0.1765,0.0123,-0.0372,0.3672,-0.2137,0.0024,1,1,0.0012,0.0536,"Full Mediation"
"F4","F3","F5",0.2053,0.0042,0.4557,1e-04,0.6609,0,1,1.0092,0,0.0419,"Partial Mediation"
"F4","F3","F6",0.1795,0.0584,0.7618,0,0.9414,0,1,1.007,0,0.046,"No Mediation"
"F4","F5","F1",0.3662,0,0.261,0.0015,0.6272,0,1,1.0133,0,0.0384,"Partial Mediation"
"F4","F5","F2",-0.11,0.0116,-0.1015,0.06,-0.2115,0.0038,1,1.009,0,0.0462,"Full Mediation"
"F4","F5","F3",0.2925,0.0011,0.5259,3e-04,0.8184,0,1,1.0092,0,0.0419,"Partial Mediation"
"F4","F5","F6",0.5456,0,0.4055,7e-04,0.9511,0,1,1.0156,0,0.0386,"Partial Mediation"
"F4","F6","F1",0.4351,0,0.2333,0.0092,0.6684,0,1,1.0162,0,0.0379,"Partial Mediation"
"F4","F6","F2",-0.0817,0.0357,-0.0943,0.0962,-0.176,0.0173,1,1.0125,0,0.0486,"Full Mediation"
"F4","F6","F3",0.235,0.0327,0.6254,1e-04,0.8604,0,1,1.007,0,0.046,"Partial Mediation"
"F4","F6","F5",0.4872,0,0.179,0.0641,0.6662,0,1,1.0156,0,0.0386,"Full Mediation"
"F5","F1","F2",-0.0515,0.461,-0.2146,0.0347,-0.2661,0.0015,1,1.0014,0,0.0516,"No Mediation"
"F5","F1","F3",0.3055,0.1047,0.4657,0.035,0.7712,0,1,1.0126,0,0.0378,"No Mediation"
"F5","F1","F4",0.5329,4e-04,0.1727,0.2894,0.7056,0,1,1.0133,0,0.0384,"Full Mediation"
"F5","F1","F6",0.6548,0,0.4464,0.0132,1.1012,0,1,1.0146,0,0.0382,"Partial Mediation"
"F5","F2","F1",0.0319,0.4572,0.7127,0,0.7446,0,1,1.0014,0,0.0516,"No Mediation"
"F5","F2","F3",0.477,0,0.3283,0.007,0.8054,0,1,1.0017,0,0.0516,"Partial Mediation"
"F5","F2","F4",0.1508,0.0101,0.5958,0,0.7466,0,1,1.009,0,0.0462,"Partial Mediation"
"F5","F2","F6",0.0868,0.1595,1.0209,0,1.1077,0,1,1.0076,0,0.051,"No Mediation"
"F5","F3","F1",0.0728,0.1302,0.6521,0,0.7248,0,1,1.0126,0,0.0378,"No Mediation"
"F5","F3","F2",-0.1832,0.0065,-0.0979,0.0284,-0.2811,3e-04,1,1.0017,0,0.0516,"Partial Mediation"
"F5","F3","F4",0.245,2e-04,0.4604,0,0.7054,0,1,1.0092,0,0.0419,"Partial Mediation"
"F5","F3","F6",0.1005,0.1298,0.9743,0,1.0748,0,1,1.0084,0,0.0458,"No Mediation"
"F5","F4","F1",0.1841,0.0021,0.5516,0,0.7358,0,1,1.0133,0,0.0384,"Partial Mediation"
"F5","F4","F2",-0.0758,0.064,-0.1767,0.0153,-0.2525,0.0032,1,1.009,0,0.0462,"No Mediation"
"F5","F4","F3",0.371,5e-04,0.4425,0.002,0.8134,0,1,1.0092,0,0.0419,"Partial Mediation"
"F5","F4","F6",0.2848,0.0011,0.819,0,1.1037,0,1,1.0156,0,0.0386,"Partial Mediation"
"F5","F6","F1",0.3604,1e-04,0.3877,7e-04,0.7481,0,1,1.0146,0,0.0382,"Partial Mediation"
"F5","F6","F2",-0.0688,0.1815,-0.1731,0.0445,-0.2419,0.0057,1,1.0076,0,0.051,"No Mediation"
"F5","F6","F3",0.2295,0.1231,0.5538,0.0017,0.7832,0,1,1.0084,0,0.0458,"No Mediation"
"F5","F6","F4",0.4284,3e-04,0.2739,0.048,0.7023,0,1,1.0156,0,0.0386,"Partial Mediation"
"F6","F1","F2",-0.0512,0.2582,-0.0954,0.0812,-0.1466,0.0064,1,1.0023,0,0.0538,"No Mediation"
"F6","F1","F3",0.3051,0.0461,0.2541,0.1617,0.5591,0,1,1.012,0,0.0415,"Full Mediation"
"F6","F1","F4",0.2907,0.0041,0.2462,0.0305,0.5369,0,1,1.0162,0,0.0379,"Partial Mediation"
"F6","F1","F5",0.3463,6e-04,0.2644,0.0215,0.6107,0,1,1.0146,0,0.0382,"Partial Mediation"
"F6","F2","F1",0.0325,0.1961,0.544,0,0.5765,0,1,1.0023,0,0.0538,"No Mediation"
"F6","F2","F3",0.3457,0,0.2536,0.0059,0.5993,0,1,1.001,0,0.056,"Partial Mediation"
"F6","F2","F4",0.0887,0.0177,0.4804,0,0.5692,0,1,1.0125,0,0.0486,"Partial Mediation"
"F6","F2","F5",0.0864,0.0076,0.5254,0,0.6118,0,1,1.0076,0,0.051,"Partial Mediation"
"F6","F3","F1",0.0633,0.043,0.5125,0,0.5757,0,1,1.012,0,0.0415,"Partial Mediation"
"F6","F3","F2",-0.1195,0.0174,-0.0532,0.081,-0.1726,0.0011,1,1.001,0,0.056,"Full Mediation"
"F6","F3","F4",0.1616,2e-04,0.3943,0,0.5559,0,1,1.007,0,0.046,"Partial Mediation"
"F6","F3","F5",0.1017,0.0094,0.5291,0,0.6308,0,1,1.0084,0,0.0458,"Partial Mediation"
"F6","F4","F1",0.1252,0.0091,0.4401,0,0.5654,0,1,1.0162,0,0.0379,"Partial Mediation"
"F6","F4","F2",-0.0537,0.0977,-0.0878,0.039,-0.1415,0.0113,1,1.0125,0,0.0486,"No Mediation"
"F6","F4","F3",0.3477,3e-04,0.2497,0.048,0.5973,0,1,1.007,0,0.046,"Partial Mediation"
"F6","F4","F5",0.0995,0.0629,0.5123,0,0.6117,0,1,1.0156,0,0.0386,"No Mediation"
"F6","F5","F1",0.2368,4e-04,0.3273,1e-04,0.564,0,1,1.0146,0,0.0382,"Partial Mediation"
"F6","F5","F2",-0.1059,0.0405,-0.0621,0.1791,-0.168,0.0038,1,1.0076,0,0.051,"Full Mediation"
"F6","F5","F3",0.3493,0.0022,0.2135,0.1236,0.5628,0,1,1.0084,0,0.0458,"Full Mediation"
"F6","F5","F4",0.1675,0.0497,0.3881,1e-04,0.5557,0,1,1.0156,0,0.0386,"Partial Mediation"
