"X","M","Y","Indirect","Indirect_p","Direct","Direct_p","Total","Total_p","CFI","TLI","RMSEA","SRMR","MediationType"
"F6","F2","F1",0.0362,0.0075,0.4087,0,0.4449,0,0.973,0.9651,0.0445,0.0591,"Partial Mediation"
"F6","F2","F3",0.1213,0.0013,0.1921,0,0.3134,0,1,1.0027,0,0.0418,"Partial Mediation"
"F6","F2","F4",0.0436,0.0093,0.32,0,0.3636,0,0.96,0.9482,0.0555,0.0677,"Partial Mediation"
"F6","F2","F5",0.0376,0.0094,0.5475,0,0.5851,0,0.9808,0.9758,0.0428,0.0607,"Partial Mediation"
"F6","F3","F1",0.039,0.0429,0.3999,0,0.4389,0,1,1.0042,0,0.0401,"Partial Mediation"
"F6","F3","F2",-0.0343,0.1435,0.0109,0.2064,-0.0235,0.1905,1,1.0027,0,0.0418,"No Mediation"
"F6","F3","F4",0.1254,0,0.2384,0,0.3638,0,1,1.0164,0,0.0323,"Partial Mediation"
"F6","F3","F5",0.0787,6e-04,0.5077,0,0.5864,0,1,1.0136,0,0.0338,"Partial Mediation"
"F6","F4","F1",0.0689,0.0017,0.389,0,0.4579,0,0.9964,0.9953,0.0186,0.0451,"Partial Mediation"
"F6","F4","F2",-0.0339,0.0317,-0.0163,0.357,-0.0502,0.0409,0.96,0.9482,0.0555,0.0677,"Full Mediation"
"F6","F4","F3",0.1809,0,0.1367,0.0178,0.3176,0,1,1.0164,0,0.0323,"Partial Mediation"
"F6","F4","F5",0.1065,1e-04,0.5055,0,0.612,0,1,1.011,0,0.0342,"Partial Mediation"
"F6","F5","F1",0.3588,0,0.0604,0.3893,0.4192,0,1,1.0069,0,0.0376,"Full Mediation"
"F6","F5","F2",-0.0902,0.0206,0.0341,0.2608,-0.0562,0.0222,0.9808,0.9758,0.0428,0.0607,"Full Mediation"
"F6","F5","F3",0.3045,1e-04,-0.0028,0.9756,0.3017,0,1,1.0136,0,0.0338,"Full Mediation"
"F6","F5","F4",0.2982,0,0.0642,0.424,0.3624,0,1,1.011,0,0.0342,"Full Mediation"
