sex,age,department,grade,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
0,21,舞蹈系所,四年級,4,4,4,3,3,3,2,2,1,1,3,4,3,1,3,4,4,4,4,4,3,4,4,4,3,3,2,4,4,3,2,3,3,3,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5
0,28,工藝系,研究生,4,4,4,4,3,4,2,3,2,2,3,3,4,2,4,4,4,4,4,3,4,2,4,3,4,4,4,3,4,3,2,4,3,4,4,4,4,4,4,3,4,4,4,4,5,5,5,4,5,4,5,4,2,5,5,5,5,3,5,4
0,22,書畫系,四年級,3,3,3,3,3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3
0,22,舞蹈系,已畢業,4,4,4,4,3,4,1,1,1,1,2,2,1,1,3,3,3,3,4,3,2,2,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,4,5,4,5,5,5,5,5
0,22,舞蹈系,延畢,2,2,1,1,2,1,4,4,4,3,2,2,4,2,4,4,4,4,3,3,3,2,3,4,3,2,1,4,3,1,4,2,2,2,2,2,4,3,3,2,2,3,3,3,5,4,3,2,2,2,1,2,1,1,3,2,5,1,2,5
0,21,舞蹈系,三年級,4,4,3,3,2,2,1,2,2,2,3,2,1,1,3,4,4,4,3,3,3,2,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,3,4,5,4,4,3,2,5,4,4,4,3,5
0,24,書畫藝術學系,三年級,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
0,24,視覺傳達設計學系,剛畢業,3,4,3,3,2,2,2,1,1,2,3,3,2,3,4,3,3,2,3,4,3,4,2,4,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,4,4,4,4,4,4,3,3,4,4,5,5,5,5
0,23,音樂學系,畢業,3,3,4,3,3,4,2,2,1,1,1,1,2,1,2,3,4,3,4,4,4,3,3,4,4,3,3,4,4,3,2,3,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,4,4,4,4,4,4,5,5,5,5,4,4,4
0,20,美術系,三年級,4,4,3,3,3,3,2,2,2,2,1,1,3,1,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,2,3,2,2,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
0,56,表演藝術教學碩士學位班,研究生,4,4,4,4,3,3,1,1,3,2,1,1,2,2,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5
0,20,國樂系,三年級,3,3,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,2,2,3,2,3,4,3,3,4,4,3,2,3,2,4,2,5,4,3,3
0,38,舞蹈學系碩專班,研究生,4,3,3,4,3,3,2,1,2,1,1,1,1,1,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,2,4,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,5,5,5,5,4,5,4,4
0,32,中國音樂學系,延畢,4,4,4,4,4,4,1,4,3,4,4,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,24,書畫藝術學系,延畢,4,3,4,3,3,4,3,1,3,3,1,1,2,1,2,4,4,4,4,4,4,3,3,4,4,4,1,3,4,3,2,4,4,4,4,4,4,4,4,2,3,3,3,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
0,24,舞蹈系,2018畢業,4,4,3,3,3,3,3,2,1,4,3,4,2,2,2,4,4,4,4,3,3,3,3,4,4,3,2,4,3,3,3,2,2,3,4,3,4,3,2,3,3,4,4,4,5,4,3,4,4,4,5,4,3,3,5,3,5,5,4,5
1,23,書畫系,延畢,3,4,4,3,3,3,3,2,1,2,1,1,3,1,2,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,5,5,3,4,4,5,4,3,4
1,21,中國音樂學系,三年級,4,4,4,4,4,4,1,2,1,1,2,2,4,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
0,52,舞蹈,研究生,4,4,4,4,4,4,1,3,4,1,1,1,1,1,1,4,4,4,4,4,4,3,3,4,4,4,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
1,20,音樂系,三年級,4,4,4,4,4,4,1,3,2,2,1,1,1,1,1,3,4,3,4,4,4,2,3,3,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,43,美術系,師培畢業生,4,4,4,4,4,4,2,2,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,4,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,38,戲劇系 表演藝術研究所,研究生,4,3,4,3,4,4,1,1,2,1,1,1,4,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5
0,24,視傳系,實習結束剛畢業,3,2,2,2,3,2,4,3,1,3,2,3,3,3,2,3,3,3,3,4,1,2,2,3,3,3,4,3,3,3,3,2,2,3,3,2,3,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
0,26,舞蹈系,已畢業,4,3,4,4,4,4,1,1,1,1,3,1,4,1,4,4,4,3,3,3,4,4,4,3,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5
0,21,書畫系,三年級,3,4,4,3,3,3,3,2,1,1,3,3,4,4,4,4,4,4,3,4,4,1,3,2,2,3,3,4,4,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,5,4,5,3,5,4,5,4,3,4,3,4,5,4,4,3
0,21,國樂系,四年級,3,3,3,3,3,3,2,2,2,3,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,4,4,4,5,4,4,4
0,23,中國音樂學系,已畢業一年,3,3,3,3,3,3,1,1,1,1,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,5
